Wavelength,NC1,NC2,NC3,SF1,SF2,SF3,SN1,SN2,SN3
Group,NC,NC,NC,SF,SF,SF,SN,SN,SN
774.148607,71.091918,82.811488,78.02002,96.89479,97.723823,97.177334,84.919154,86.54812,92.623639
775.584875,70.793713,82.633574,77.789336,96.922279,97.738622,97.196509,85.053451,86.66521,92.671579
777.021144,70.496301,82.458318,77.567139,96.946832,97.747734,97.215501,85.181239,86.77936,92.713966
778.457412,70.217855,82.29173,77.354865,96.967665,97.75264,97.236123,85.309836,86.896414,92.754617
779.89368,69.951424,82.130778,77.144191,96.990576,97.758023,97.248459,85.430762,87.00576,92.79397
781.329949,69.699398,81.976493,76.950682,97.014371,97.763882,97.256573,85.556725,87.120714,92.837886
782.766217,69.457895,81.832819,76.770648,97.033497,97.76385,97.270675,85.674243,87.225906,92.886671
784.202485,69.242558,81.702256,76.602205,97.04707,97.767688,97.286425,85.799393,87.34189,92.940322
785.638753,69.03941,81.576818,76.447914,97.058574,97.77985,97.302907,85.921699,87.460311,92.990802
787.075022,68.856228,81.466813,76.311984,97.081341,97.790704,97.31571,86.049156,87.577113,93.034011
788.51129,68.690202,81.370437,76.182574,97.108419,97.800266,97.324006,86.17832,87.686115,93.064803
789.947558,68.547364,81.28313,76.067519,97.12321,97.807472,97.341193,86.311461,87.800792,93.084803
791.383827,68.411573,81.200018,75.963449,97.137577,97.812085,97.360184,86.433401,87.909376,93.104583
792.820095,68.293382,81.129093,75.875005,97.151702,97.820905,97.371129,86.555728,88.020804,93.135659
794.256363,68.180727,81.067682,75.794751,97.15598,97.826397,97.380377,86.662305,88.118278,93.170486
795.692631,68.082257,81.012126,75.728393,97.160218,97.824967,97.387465,86.76272,88.212685,93.200823
797.1289,67.991715,80.957651,75.671425,97.163351,97.827297,97.391905,86.849142,88.29821,93.21982
798.565168,67.913476,80.907984,75.614333,97.167518,97.834006,97.391109,86.925571,88.377899,93.23134
800.001436,67.838637,80.855587,75.555702,97.178462,97.838589,97.378951,86.988809,88.443269,93.242353
801.437705,67.773438,80.81028,75.511023,97.182026,97.838205,97.369165,87.055746,88.508012,93.257013
802.873973,67.701058,80.772997,75.459731,97.18163,97.833598,97.368639,87.120796,88.571084,93.27033
804.310241,67.635461,80.732643,75.406504,97.187899,97.830119,97.366038,87.192722,88.644666,93.28062
805.746509,67.562147,80.682754,75.354388,97.199424,97.829516,97.359312,87.261336,88.714988,93.287288
807.182778,67.486006,80.638239,75.298454,97.222345,97.831343,97.355682,87.340363,88.793528,93.294463
808.619046,67.409974,80.594062,75.23853,97.24507,97.833814,97.362775,87.424647,88.875712,93.299696
810.055314,67.335675,80.542545,75.177961,97.257138,97.833887,97.37812,87.520274,88.970071,93.307561
811.491583,67.244038,80.480864,75.098615,97.272096,97.834372,97.388607,87.616997,89.068956,93.323161
812.927851,67.14439,80.418426,75.010359,97.28653,97.837384,97.396354,87.718331,89.171656,93.345548
