"","NC1","NC2","NC3","SF1","SF2","SF3","SN1","SN2","SN3","10","11","12","13"
"Group","NC","NC","NC","SF","SF","SF","SN","SN","SN","AOV p-value","AOV F-value","KWT p-value","KWT Chi-squared"
"X639.139388","65.376074","81.335353","73.896953","93.799055","96.420498","95.511996","75.2943","77.828226","87.860796","0.0119677113158626","10.1154809158614","0.0509058323363985","5.95555555555556"
"X640.575656","65.3451","81.331957","73.883257","93.809926","96.426135","95.520473","75.310375","77.860807","87.878515","0.0119709947791807","10.1142816800093","0.0509058323363985","5.95555555555556"
"X642.011925","65.309022","81.340862","73.88475","93.817463","96.430061","95.526696","75.312604","77.879965","87.890552","0.0120423035813444","10.088344901576","0.0509058323363985","5.95555555555556"
"X643.448193","65.272234","81.355064","73.892392","93.827828","96.436438","95.53538","75.333815","77.915803","87.911611","0.0121184807754484","10.0608626380821","0.0509058323363985","5.95555555555556"
"X644.884461","65.229571","81.376287","73.907134","93.839424","96.443658","95.544562","75.343965","77.938727","87.928598","0.0122344669683075","10.019457966276","0.0509058323363985","5.95555555555556"
"X646.320729","65.207627","81.404387","73.931257","93.853885","96.451638","95.554605","75.372947","77.977921","87.949034","0.0123244135393252","9.98770754160517","0.0509058323363985","5.95555555555556"
"X647.756998","65.192161","81.445865","73.969293","93.871124","96.459874","95.565608","75.389426","78.002878","87.965842","0.0124622191703904","9.93965785671012","0.0509058323363985","5.95555555555556"
"X649.193266","65.212806","81.518795","74.043329","93.899124","96.473741","95.575301","75.425858","78.04493","87.990834","0.0126411085743915","9.87832954835295","0.0509058323363985","5.95555555555556"
"X650.629534","65.281582","81.611134","74.150736","93.926056","96.486837","95.586053","75.452048","78.07481","88.014995","0.012853892556538","9.806870938097","0.0509058323363985","5.95555555555556"
"X652.065803","65.430518","81.751048","74.310432","93.954934","96.500284","95.597702","75.497706","78.12127","88.042732","0.0131126801374632","9.72205978822191","0.0509058323363985","5.95555555555556"
"X653.502071","65.669862","81.948726","74.529474","93.983201","96.515247","95.608288","75.530592","78.152973","88.075977","0.0135021766831175","9.5985334238553","0.0509058323363985","5.95555555555556"
"X654.938339","66.014344","82.193937","74.816738","94.007048","96.530214","95.619269","75.582441","78.204937","88.109405","0.0139265221287961","9.46925089557012","0.0509058323363985","5.95555555555556"
"X656.374607","66.566777","82.56557","75.260703","94.048746","96.547278","95.631695","75.625247","78.24227","88.142755","0.0145753135195966","9.28142101757305","0.0509058323363985","5.95555555555556"
"X657.810876","67.222727","82.960585","75.742501","94.080479","96.559137","95.645287","75.676592","78.290589","88.172783","0.015189822386887","9.11351987329217","0.0608100626252179","5.6"
"X659.247144","67.886718","83.345502","76.228","94.115613","96.573759","95.658143","75.71873","78.329062","88.20427","0.0157959204020368","8.9565607791666","0.0608100626252179","5.6"
"X660.683412","68.523755","83.722858","76.716784","94.148627","96.589009","95.671212","75.777192","78.382153","88.238739","0.0164301784298202","8.80068347020829","0.0608100626252179","5.6"
"X662.119681","69.166275","84.074498","77.187272","94.179176","96.604111","95.683756","75.824954","78.425429","88.270024","0.0169720420906039","8.67373654920756","0.0608100626252179","5.6"
"X663.555949","69.792749","84.399478","77.640232","94.207237","96.618984","95.696447","75.887346","78.482947","88.303521","0.017417781494813","8.57329372256633","0.0608100626252179","5.6"
"X664.992217","70.354786","84.684136","78.048575","94.233562","96.630545","95.706454","75.943076","78.532122","88.326988","0.0177756111672738","8.49510848155216","0.0608100626252179","5.6"
"X666.428486","70.844749","84.913275","78.391132","94.257762","96.646226","95.719902","76.009041","78.593639","88.354923","0.0179717619386488","8.453134714244","0.0608100626252179","5.6"
"X667.864754","71.212814","85.07452","78.650956","94.27883","96.660569","95.73293","76.061073","78.643091","88.37897","0.0180683214659847","8.43269590021458","0.0664629179866731","5.42222222222222"
"X669.301022","71.473239","85.168331","78.83088","94.295337","96.673194","95.744951","76.128969","78.707405","88.408298","0.0180246953272302","8.44191219140897","0.0664629179866731","5.42222222222222"
"X670.73729","71.626161","85.20781","78.944357","94.309505","96.684266","95.75647","76.18588","78.762054","88.432679","0.0179181857936997","8.46453847740613","0.0664629179866731","5.42222222222222"
"X672.173559","71.711304","85.225093","79.023551","94.320461","96.694026","95.76739","76.259611","78.832558","88.457893","0.0178031426422506","8.48917992957692","0.0664629179866731","5.42222222222222"
"X673.609827","71.758488","85.236016","79.093775","94.329738","96.702166","95.777301","76.323708","78.894089","88.480909","0.0177488386061834","8.50088536439958","0.0664629179866731","5.42222222222222"
"X675.046095","71.827285","85.277432","79.19828","94.338638","96.709557","95.787241","76.40385","78.971046","88.505081","0.0177863229449272","8.49280038272646","0.0664629179866731","5.42222222222222"
"X676.482364","71.991128","85.392977","79.389388","94.369589","96.720024","95.797741","76.471454","79.034741","88.530897","0.0180043648012008","8.44621730654626","0.0664629179866731","5.42222222222222"
"X677.918632","72.147485","85.483623","79.549543","94.383527","96.726524","95.808288","76.555063","79.110972","88.555556","0.0181101103272843","8.42389552515591","0.0664629179866731","5.42222222222222"
"X679.3549","72.335824","85.603991","79.73744","94.399582","96.733095","95.817884","76.630067","79.178289","88.57912","0.0183134340308218","8.38146040685749","0.0664629179866731","5.42222222222222"
"X680.791168","72.632859","85.790731","80.003948","94.418192","96.74053","95.827453","76.718985","79.25914","88.605487","0.0186291055331955","8.31680728727079","0.0664629179866731","5.42222222222222"
"X682.227437","73.113869","86.069088","80.384528","94.439718","96.747904","95.836494","76.799321","79.331157","88.630593","0.0190674285645607","8.22941706634067","0.0664629179866731","5.42222222222222"
"X683.663705","73.787094","86.45779","80.90003","94.465022","96.755426","95.845599","76.893327","79.415134","88.659466","0.0196817803984057","8.11134061014791","0.0664629179866731","5.42222222222222"
"X685.099973","74.598606","86.930196","81.51722","94.493529","96.763589","95.853591","76.979667","79.489702","88.691906","0.0204753587888162","7.96589495058028","0.0664629179866731","5.42222222222222"
"X686.536242","75.593411","87.496478","82.254744","94.525469","96.776086","95.867796","77.072528","79.574202","88.72719","0.0213159631464919","7.81980917010511","0.0664629179866731","5.42222222222222"
"X687.97251","76.684956","88.1109","83.064241","94.561454","96.786156","95.881037","77.154656","79.649919","88.76182","0.0221311310257751","7.68529995943199","0.0664629179866731","5.42222222222222"
"X689.408778","77.828592","88.756289","83.908078","94.600869","96.796425","95.893848","77.251335","79.737996","88.800013","0.0228071801777548","7.57866157090394","0.0664629179866731","5.42222222222222"
"X690.845046","78.951304","89.412273","84.741415","94.645279","96.805623","95.90396","77.338033","79.819017","88.841856","0.0233953812991349","7.489252632514","0.0608100626252179","5.6"
"X692.281315","80.024833","90.056623","85.533083","94.686589","96.819223","95.919988","77.438315","79.913775","88.886367","0.0237509139052748","7.43665064644243","0.0509058323363985","5.95555555555556"
"X693.717583","81.004575","90.656831","86.253542","94.730116","96.830761","95.936456","77.519671","79.9943","88.932064","0.0238986658448974","7.41509819953174","0.0509058323363985","5.95555555555556"
"X695.153851","81.84982","91.191727","86.878014","94.778615","96.842866","95.953515","77.614364","80.085232","88.986429","0.0239015431187431","7.41468025870308","0.0509058323363985","5.95555555555556"
"X696.59012","82.538436","91.629429","87.380753","94.829407","96.855922","95.970701","77.697436","80.169621","89.048323","0.0238225018070425","7.42618592453329","0.0509058323363985","5.95555555555556"
"X698.026388","83.065715","91.943462","87.750501","94.8729","96.865937","95.989176","77.792081","80.263139","89.107316","0.0235813309109","7.46160898748566","0.0509058323363985","5.95555555555556"
"X699.462656","83.41763","92.127753","87.992003","94.918321","96.877959","96.007639","77.870992","80.348724","89.166129","0.0233283504000135","7.49928951425929","0.0509058323363985","5.95555555555556"
"X700.898924","83.616701","92.188181","88.121912","94.974432","96.890486","96.025111","77.966831","80.449025","89.23002","0.0230346146756777","7.54372987051789","0.0509058323363985","5.95555555555556"
"X702.335193","83.669071","92.13785","88.135325","95.029964","96.903166","96.042791","78.051765","80.541371","89.289584","0.022750874683408","7.58738132457209","0.0509058323363985","5.95555555555556"
"X703.771461","83.622872","91.989488","88.07106","95.082557","96.920628","96.0611","78.163106","80.645783","89.338577","0.0222458121750018","7.6669067708738","0.0509058323363985","5.95555555555556"
"X705.207729","83.48303","91.756171","87.953462","95.140042","96.931268","96.079716","78.277524","80.742374","89.389064","0.0216795640199225","7.75897933400382","0.0509058323363985","5.95555555555556"
"X706.643998","83.316618","91.477356","87.813781","95.199413","96.941306","96.101329","78.4074","80.850838","89.441389","0.0209565581095497","7.88131216020864","0.0509058323363985","5.95555555555556"
"X708.080266","83.072564","91.141696","87.630494","95.251667","96.953861","96.120204","78.526202","80.953689","89.488763","0.0202089010422433","8.01388038662191","0.0509058323363985","5.95555555555556"
"X709.516534","82.79027","90.795086","87.418827","95.302938","96.967563","96.138259","78.649165","81.068168","89.538016","0.0194822122072676","8.14915187591646","0.0509058323363985","5.95555555555556"
"X710.952802","82.494983","90.472755","87.192657","95.352846","96.982588","96.156665","78.758922","81.176124","89.589357","0.018866140242693","8.26921250625025","0.0509058323363985","5.95555555555556"
"X712.389071","82.214467","90.191423","86.970037","95.394932","97.001552","96.181005","78.874669","81.292556","89.643103","0.0183224769779687","8.37958768186423","0.0509058323363985","5.95555555555556"
"X713.825339","81.950924","89.945485","86.764944","95.436951","97.017258","96.203155","78.976806","81.395999","89.705375","0.0179340383827994","8.46115949884212","0.0509058323363985","5.95555555555556"
"X715.261607","81.698017","89.725512","86.558687","95.478253","97.036131","96.226001","79.090531","81.511089","89.775859","0.0175953159620876","8.53423772319395","0.0608100626252179","5.6"
"X716.697876","81.45826","89.526078","86.35688","95.516296","97.055824","96.249649","79.185404","81.620673","89.852097","0.0173466968801003","8.58908081892421","0.0664629179866731","5.42222222222222"
"X718.134144","81.230856","89.341835","86.165554","95.552969","97.076914","96.273855","79.280271","81.736482","89.92607","0.0170845361088463","8.64805799701176","0.0664629179866731","5.42222222222222"
"X719.570412","81.009952","89.174882","85.980987","95.588554","97.098828","96.298515","79.360911","81.844356","90.002039","0.0168925412415761","8.6920211445523","0.0664629179866731","5.42222222222222"
"X721.00668","80.799924","89.026909","85.800385","95.633017","97.121809","96.322648","79.457864","81.963576","90.083749","0.0166950198852556","8.73795052088411","0.0664629179866731","5.42222222222222"
"X722.442949","80.589375","88.893244","85.610465","95.671694","97.145649","96.348433","79.549596","82.074406","90.15752","0.0164909260838215","8.78617557505522","0.0664629179866731","5.42222222222222"
"X723.879217","80.388702","88.762896","85.431733","95.710951","97.16996","96.375638","79.672485","82.194807","90.229063","0.0161804684192745","8.86107971457897","0.0664629179866731","5.42222222222222"
"X725.315485","80.1789","88.627448","85.254281","95.756783","97.185704","96.40222","79.800346","82.306794","90.311573","0.0159048351285966","8.92920579671024","0.0664629179866731","5.42222222222222"
